id,pdbid,ndbid,polyclass,method
1CGP,1CGP,PDR006,Protein/DNA,X-ray
1CIT,1CIT,PD0046,Protein/DNA,X-ray
1CJG,1CJG,1CJG,Protein/DNA,NMR
1CKQ,1CKQ,PD0049,Protein/DNA,X-ray
1CKT,1CKT,PD0051,Protein/DNA,X-ray
1CL8,1CL8,PD0054,Protein/DNA,X-ray
1CLQ,1CLQ,PD0079,Protein/DNA,X-ray
1CMA,1CMA,PDR008,Protein/DNA,X-ray
1CN0,1CN0,UD0007,DNA,X-ray
1CO0,1CO0,1CO0,Protein/DNA,NMR
1COC,1COC,1COC,DNA,NMR
1CP8,1CP8,1CP8,DNA,NMR
1CQ5,1CQ5,1CQ5,RNA,NMR
1CQL,1CQL,1CQL,RNA,NMR
1CQO,1CQO,1CQO,DNA,NMR
1CQT,1CQT,PD0092,Protein/DNA,X-ray
1CR3,1CR3,1CR3,DNA,NMR
1CRX,1CRX,PD0003,Protein/DNA,X-ray
1CS2,1CS2,1CS2,DNA,NMR
1CS7,1CS7,DD0019,DNA,X-ray
1CSL,1CSL,AR0023,RNA,X-ray
1CVJ,1CVJ,PR0007,Protein/RNA,X-ray
1CVX,1CVX,DD0020,DNA,X-ray
1CVY,1CVY,DD0021,DNA,X-ray
1CW0,1CW0,PD0100,Protein/DNA,X-ray
1CW9,1CW9,BD0021,DNA,X-ray
1CWP,1CWP,PRV005,Protein/RNA,X-ray
1CX3,1CX3,1CX3,DNA,NMR
1CX5,1CX5,1CX5,DNA/RNA,NMR
1CYQ,1CYQ,PD0096,Protein/DNA,X-ray
1CYZ,1CYZ,1CYZ,DNA,NMR
1CZ0,1CZ0,PD0097,Protein/DNA,X-ray
1D02,1D02,PD0151,Protein/DNA,X-ray
1D0E,1D0E,PD0135,Protein/DNA,X-ray
1D0T,1D0T,1D0T,RNA,NMR
1D0U,1D0U,1D0U,RNA,NMR
1D10,1D10,DDF020,DNA,X-ray
1D11,1D11,DDF001,DNA,X-ray
1D12,1D12,DDF019,DNA,X-ray
1D13,1D13,ADJ022,DNA,X-ray
1D14,1D14,DDFP21,DNA,X-ray
1D15,1D15,DDF022,DNA,X-ray
1D16,1D16,UDP011,DNA,X-ray
1D17,1D17,DDFA16,DNA,X-ray
1D18,1D18,1D18,DNA,NMR
1D19,1D19,1D19,DNA,NMR
1D1U,1D1U,PD0152,Protein/DNA,X-ray
1D20,1D20,1D20,DNA,NMR
1D21,1D21,DDFA14,DNA,X-ray
1D22,1D22,DDFA15,DNA,X-ray
1D23,1D23,BDJ025,DNA,X-ray
1D24,1D24,ZDFB21,DNA,X-ray
1D26,1D26,ADHP36,DNA,X-ray
1D27,1D27,BDLB26,DNA,X-ray
1D28,1D28,BDL028,DNA,X-ray
1D29,1D29,BDL029,DNA,X-ray
1D2I,1D2I,PD0153,Protein/DNA,X-ray
1D30,1D30,GDL008,DNA,X-ray
1D31,1D31,UDM010,DNA,X-ray
1D32,1D32,DDD030,DNA,X-ray
1D33,1D33,DDF023,DNA,X-ray
1D35,1D35,DDFB25,DNA,X-ray
1D36,1D36,DDF026,DNA,X-ray
1D37,1D37,DDF028,DNA,X-ray
1D38,1D38,DDF029,DNA,X-ray
1D39,1D39,ZDF028,DNA,X-ray
1D3R,1D3R,BD0017,DNA,X-ray
1D3U,1D3U,PD0070,Protein/DNA,X-ray
1D3X,1D3X,1D3X,DNA,NMR
1D40,1D40,ZDFB10,DNA,X-ray
1D41,1D41,ZDFB24,DNA,X-ray
1D42,1D42,1D42,DNA,NMR
1D43,1D43,GDL010,DNA,X-ray
1D44,1D44,GDL011,DNA,X-ray
1D45,1D45,GDL012,DNA,X-ray
1D46,1D46,GDL013,DNA,X-ray
1D48,1D48,ZDF029,DNA,X-ray
1D49,1D49,BDJ031,DNA,X-ray
1D4R,1D4R,AR0024,RNA,X-ray
1D53,1D53,ZDH030,DNA,X-ray
1D54,1D54,DDF035,DNA,X-ray
1D56,1D56,BDJ036,DNA,X-ray
1D57,1D57,BDJ037,DNA,X-ray
1D58,1D58,DDF036,DNA,X-ray
1D59,1D59,UDL018,DNA,X-ray
1D5Y,1D5Y,PD0078,Protein/DNA,X-ray
1D60,1D60,BDJB43,DNA,X-ray
1D61,1D61,BDJB44,DNA,X-ray
1D62,1D62,BD0055,DNA,X-ray
1D63,1D63,GDL016,DNA,X-ray
1D64,1D64,GDL015,DNA,X-ray
1D65,1D65,BDL038,DNA,X-ray
1D66,1D66,PDT003,Protein/DNA,X-ray
1D67,1D67,DDF038,DNA,X-ray
1D68,1D68,1D68,DNA,NMR
1D69,1D69,1D69,DNA,NMR
1D6D,1D6D,1D6D,DNA,NMR
1D6K,1D6K,1D6K,Protein/RNA,NMR
1D70,1D70,1D70,DNA,NMR
1D75,1D75,BDLB33,DNA,X-ray
1D76,1D76,ZDFB31,DNA,X-ray
1D77,1D77,BDLB40,DNA,X-ray
1D78,1D78,ADH038,DNA,X-ray
1D79,1D79,ADH039,DNA,X-ray
1D7Z,1D7Z,HD0002,DNA,X-ray
1D80,1D80,BDL046,DNA,X-ray
1D81,1D81,BDLB41,DNA,X-ray
1D82,1D82,ADH041,DNA,X-ray
1D83,1D83,1D83,DNA,NMR
1D85,1D85,GDLB17,DNA,X-ray
1D86,1D86,GDL018,DNA,X-ray
1D87,1D87,AHJ043,Hybrid,X-ray
1D88,1D88,AHJ044,Hybrid,X-ray
1D89,1D89,BDL047,DNA,X-ray
1D8G,1D8G,BD0023,DNA,X-ray
1D8X,1D8X,BD0024,DNA,X-ray
1D8Y,1D8Y,PD0072,Protein/DNA,X-ray
1D90,1D90,ADHB17,DNA,X-ray
1D91,1D91,ADH018,DNA,X-ray
1D92,1D92,ADH019,DNA,X-ray
1D93,1D93,ADH020,DNA,X-ray
1D96,1D96,AHJ015,Hybrid,X-ray
1D97,1D97,BDFP24,DNA,X-ray
1D98,1D98,BDL006,DNA,X-ray
1D99,1D99,BDL011,DNA,X-ray
1D9D,1D9D,PR0016,Protein/Hybrid,X-ray
1D9F,1D9F,PD0080,Protein/Hybrid,X-ray
1D9H,1D9H,AH0006,Hybrid,X-ray
1D9R,1D9R,BD0025,DNA,X-ray
1DA0,1DA0,DDF018,DNA,X-ray
1DA1,1DA1,ZDFB14,DNA,X-ray
1DA2,1DA2,ZDFB25,DNA,X-ray
1DA3,1DA3,BDJB48,DNA,X-ray
1DA4,1DA4,1DA4,DNA,NMR
1DA5,1DA5,1DA5,DNA,NMR
1DA9,1DA9,DDF040,DNA,X-ray
1DAU,1DAU,1DAU,DNA,NMR
1DB6,1DB6,1DB6,DNA,NMR
1DC0,1DC0,BD0026,DNA,X-ray
1DC1,1DC1,PD0085,Protein/DNA,X-ray
1DCG,1DCG,ZDF002,DNA,X-ray
1DCR,1DCR,BD0027,DNA,X-ray
1DCT,1DCT,PDEB19,Protein/DNA,X-ray
1DCV,1DCV,BD0028,DNA,X-ray
1DCW,1DCW,UD0008,DNA,X-ray
1DDL,1DDL,PR0017,Protein/RNA,X-ray
1DDN,1DDN,PD0004,Protein/DNA,X-ray
1DDP,1DDP,1DDP,DNA,NMR
1DDY,1DDY,UR0008,RNA,X-ray
1DE8,1DE8,PD0093,Protein/DNA,X-ray
1DE9,1DE9,PD0094,Protein/DNA,X-ray
1DEW,1DEW,PD0095,Protein/DNA,X-ray
1DFM,1DFM,PD0101,Protein/DNA,X-ray
1DFU,1DFU,PR0018,Protein/RNA,X-ray
1DGC,1DGC,PDT007,Protein/DNA,X-ray
1DGO,1DGO,1DGO,DNA,NMR
1DH3,1DH3,PD0102,Protein/DNA,X-ray
1DHH,1DHH,1DHH,DNA/Hybrid,NMR
1DI2,1DI2,PR0020,Protein/RNA,X-ray
1DIZ,1DIZ,PD0099,Protein/DNA,X-ray
1DJ6,1DJ6,ZD0003,DNA,X-ray
1DJD,1DJD,1DJD,DNA,NMR
1DK1,1DK1,RR0005,Protein/RNA,X-ray
1DK6,1DK6,1DK6,DNA,NMR
1DK9,1DK9,1DK9,DNA,NMR
1DL4,1DL4,1DL4,DNA,NMR
1DL8,1DL8,DD0023,DNA,X-ray
1DMU,1DMU,PD0108,Protein/DNA,X-ray
1DN4,1DN4,ZDFB04,DNA,X-ray
1DN5,1DN5,ZDFB05,DNA,X-ray
1DN6,1DN6,ADI009,DNA,X-ray
1DN8,1DN8,ZDJ018,DNA,X-ray
1DN9,1DN9,BDL007,DNA,X-ray
1DNE,1DNE,GDL004,DNA,X-ray
1DNF,1DNF,ZDFB12,DNA,X-ray
1DNH,1DNH,GDL002,DNA,X-ray
1DNK,1DNK,PDE005,Protein/DNA,X-ray
1DNM,1DNM,BDL022,DNA,X-ray
1DNO,1DNO,AH0007,Hybrid,X-ray
1DNS,1DNS,ADH014,DNA,X-ray
1DNT,1DNT,AH0008,Hybrid,X-ray
1DNX,1DNX,AH0009,Hybrid,X-ray
1DNZ,1DNZ,AD0006,DNA,X-ray
1DOU,1DOU,BD0029,DNA,X-ray
1DP7,1DP7,PD0111,Protein/DNA,X-ray
1DPL,1DPL,AD0007,DNA,X-ray
1DPN,1DPN,BD0030,DNA,X-ray
1DQF,1DQF,AR0026,RNA,X-ray
1DQH,1DQH,AR0027,RNA,X-ray
1DRG,1DRG,PD0113,Protein/DNA,X-ray
1DRN,1DRN,1DRN,DNA/Hybrid,NMR
1DRR,1DRR,1DRR,DNA/RNA,NMR
1DRZ,1DRZ,PR0005,Protein/RNA,X-ray
1DSA,1DSA,1DSA,DNA,NMR
1DSC,1DSC,1DSC,DNA,NMR
1DSD,1DSD,1DSD,DNA,NMR
1DSI,1DSI,1DSI,DNA,NMR
1DSM,1DSM,1DSM,DNA,NMR
1DSZ,1DSZ,PD0115,Protein/DNA,X-ray
1DU0,1DU0,PD0114,Protein/DNA,X-ray
1DUF,1DUF,1DUF,DNA,NMR
1DUH,1DUH,UR0009,RNA,X-ray
1DUL,1DUL,PR0021,Protein/RNA,X-ray
1DUQ,1DUQ,AR0028,RNA,X-ray
1DUX,1DUX,PD0116,Protein/DNA,X-ray
1DV4,1DV4,RR0006,Protein/RNA,X-ray
1DVL,1DVL,DD0024,DNA,X-ray
1DXA,1DXA,1DXA,DNA,NMR
1DXN,1DXN,1DXN,Hybrid,NMR
1DZ5,1DZ5,1DZ5,Protein/RNA,NMR
1E3M,1E3M,PD0201,Protein/DNA,X-ray
1E3O,1E3O,PD0225,Protein/DNA,X-ray
1E4P,1E4P,1E4P,RNA,NMR
1E7J,1E7J,1E7J,Protein/DNA,NMR
1E7K,1E7K,PR0055,Protein/RNA,X-ray
1E8O,1E8O,PR0041,Protein/RNA,X-ray
1E8S,1E8S,PR0042,Protein/RNA,X-ray
1E95,1E95,1E95,RNA,NMR
1EA4,1EA4,PD0479,Protein/DNA,X-ray
1EBM,1EBM,PD0117,Protein/DNA,X-ray
1EBQ,1EBQ,1EBQ,RNA,NMR
1EBR,1EBR,1EBR,RNA,NMR
1EBS,1EBS,1EBS,RNA,NMR
1EC4,1EC4,1EC4,DNA,NMR
1EC6,1EC6,PR0022,Protein/RNA,X-ray
1ECR,1ECR,PDTE01,Protein/DNA,X-ray
1ECU,1ECU,1ECU,DNA,NMR
1EDR,1EDR,BD0031,DNA,X-ray
1EEG,1EEG,1EEG,DNA,NMR
1EEK,1EEK,1EEK,DNA,NMR
1EEL,1EEL,DD0025,DNA,X-ray
1EFA,1EFA,PD0118,Protein/DNA,X-ray
1EFO,1EFO,AH0010,DNA/RNA,X-ray
1EFS,1EFS,1EFS,DNA/RNA,NMR
1EFW,1EFW,PR0023,Protein/RNA,X-ray
1EG0,1EG0,,Protein/RNA,EM
1EG6,1EG6,DD0026,DNA,X-ray
1EGK,1EGK,UH0002,DNA/RNA,X-ray
1EGW,1EGW,PD0121,Protein/DNA,X-ray
1EHL,1EHL,PD0550,Protein/DNA,X-ray
1EHT,1EHT,1EHT,RNA,NMR
1EHV,1EHV,BD0032,DNA,X-ray
1EHZ,1EHZ,TR0001,RNA,X-ray
1EI2,1EI2,1EI2,RNA,NMR
1EI4,1EI4,BD0038,DNA,X-ray
1EIY,1EIY,PR0024,Protein/RNA,X-ray
1EJ9,1EJ9,PD0125,Protein/DNA,X-ray
1EJZ,1EJZ,1EJZ,DNA/RNA,NMR
1EKA,1EKA,1EKA,RNA,NMR
1EKD,1EKD,1EKD,RNA,NMR
1EKH,1EKH,1EKH,DNA,NMR
1EKI,1EKI,1EKI,DNA,NMR
1EKW,1EKW,1EKW,DNA,NMR
1EKZ,1EKZ,1EKZ,Protein/RNA,NMR
1EL2,1EL2,1EL2,DNA,NMR
1ELH,1ELH,1ELH,RNA,NMR
1ELN,1ELN,1ELN,DNA,NMR
1EM0,1EM0,DD0027,DNA,X-ray
1EMH,1EMH,PD0127,Protein/DNA,X-ray
1EMI,1EMI,RR0008,Protein/RNA,X-ray
1EMJ,1EMJ,PD0128,Protein/DNA,X-ray
1EMQ,1EMQ,1EMQ,DNA,NMR
1EN1,1EN1,1EN1,DNA,NMR
1EN3,1EN3,BD0033,DNA,X-ray
1EN8,1EN8,BD0034,DNA,X-ray
